"species.name"	"region"	"native_occurences"	"naturalised_occurences"	"Dstat_overlap"	"expansion"	"stability"	"unfilling"	"total.occupancy"	"expansion.observed.cells"	"expansion.potential.cells"	"nnd"	"nnd.propn"	"nnd.observed.cells"	"nnd.observed.cells.propn"	"nnu"	"nnu.propn"	"nnu.observed.cells"	"nnu.observed.cells.propn"	"native_center_x"	"native_center_y"	"natur_center_x"	"natur_center_y"	"natur_poten_x"	"natur_poten_y"	"native_center_tmax"	"native_center_tmin"	"native_center_precip"	"native_center_precipSeas"	"circular_model"	"circ_rstat"	"circ_pstat"	"mean_exp_dist1"	"median_exp_dist1"	"ten_exp_dist1"	"ninety_exp_dist1"	"max_exp_dist1"	"mean_exp_dist2"	"median_exp_dist2"	"ten_exp_dist2"	"ninety_exp_dist2"	"max_exp_dist2"	"proportion_tmax"	"proportion_tmin"	"proportion_precip"	"proportion_precipSeas"	"CV"	"exp_dir1"	"exp_dir2"	"concentration_dir1"	"concentration_dir2"	"alt_circular_model"
"Eichhornia crassipes"	"Sino-Japanese"	216	32	NA	0	1	0.51808	35.78328	0	3637	0	0	0	0	78.827	2.203	520	3.514	-1.40735631041123	-1.09168475064172	-1.1664993365815	-1.28036551841922	-0.971916085497867	-0.744965027894751	301	146	1615	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Elaeagnus angustifolia"	"Nearctic"	95	291	NA	0.01346	0.98654	0.34398	77.71456	25	3475	1.046	0.003	25	0.03	106.335	1.368	466	1.198	-0.0356229448083629	-0.103414135601725	-0.176706843423509	-0.214989997423691	0.556861605936723	-0.352324852115123	301	-39	411	40	"M2A"	0.995508540121865	0	1.72397555008251	1.73189757465952	1.55846839871236	1.94551238686375	2.01043378999499	NA	NA	NA	NA	NA	0	0	1	NA	0.00838021008250989	4.394	NA	111.574	0	NA
"Elaeagnus angustifolia"	"Palearctic_West"	85	228	NA	0.01635	0.98365	0.49037	57.78217	31	3499	0.945	0.003	31	0.038	136.726	2.366	538	1.799	-0.123883669417778	-0.128039916309693	0.00448866973815542	-0.842174910698224	0.601523183968964	-0.638172392342278	305	17	287	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Elaeagnus angustifolia"	"Saharo-Arabian"	90	22	NA	0	1	0.42765	138.19673	0	3452	0	0	0	0	124.414	0.9	572	2.036	0.0442590854655104	-0.0797830308682967	-0.146251723829565	0.415364689412735	-0.984660605053038	0.658327393814197	255	-85	757	62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Elaeagnus pungens"	"Nearctic"	103	18	NA	0.24498	0.75502	0.2806	47.69538	37	4105	11.684	0.243	37	0.185	13.477	0.283	108	0.837	-0.970615644393899	-1.2616407482239	-0.583055180625399	-1.49284826541267	-0.714160055904949	-1.23984355292458	322	11	1634	45	"M2A"	0.93172061074905	0	0.820802409219507	0.756111773954556	0.527016174871357	1.35656972409345	1.52229059617311	NA	NA	NA	NA	NA	0	0	0	NA	0.0990795945255418	5.367	NA	7.605	0	NA
"Elaeagnus umbellata"	"Nearctic"	213	177	NA	0.04713	0.95287	0.51817	49.12453	22	3491	2.315	0.013	22	0.027	89.308	1.818	595	2.469	-0.625243195816997	-0.75492071651466	-0.0931704116849482	-1.34481185722306	-0.139562187504115	-0.450844731696851	278	2	1316	58	"M2A"	0.989914623383657	0	1.24635790696654	1.23121051999032	0.92521684046252	1.60565009436635	1.69997888560887	NA	NA	NA	NA	NA	0	0	0	NA	0.0133363030022781	5.192	NA	49.831	0	NA
"Elaeagnus umbellata"	"Palearctic_East"	138	6	NA	0	1	0.84538	21.08234	0	3894	0	0	0	0	108.996	5.17	376	10.743	-0.443119213316532	-0.386265232986643	-0.759213598936527	-0.375811808326081	0.249501491758708	0.192826778162407	389	86	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Elaeagnus umbellata"	"Palearctic_West"	177	25	NA	0.83915	0.16085	0.93783	16.68193	43	3844	13.999	0.112	43	0.093	116.794	7.001	428	5.632	-0.520799685886602	-0.503554870889823	0.327956367431397	-1.29175825135038	0.0612771070103417	-0.53124965554768	336	38	617	30	"M2A"	0.987111953221686	0	0.854179840208147	0.85431889271249	0.473243277081412	1.23514949882982	1.38334189102765	NA	NA	NA	NA	NA	0	0	0.204917246546415	NA	0.0252589639829721	5.099	NA	39.051	0	NA
"Elsholtzia ciliata"	"Nearctic"	144	11	NA	0	1	0.97877	8.46308	0	3595	0	0	0	0	182.527	21.567	677	20.515	-0.361717251722014	-0.675831945083812	0.130014547677761	-1.7155828289521	0.434405173095019	-0.430772790404386	327	-79	1032	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Elsholtzia ciliata"	"Palearctic_West"	134	74	NA	0.00103	0.99897	0.93854	7.71281	2	3645	0.008	0	2	0.003	160.282	20.781	593	8.594	-0.333938719687146	-0.614356955470637	0.455097406799771	-1.03057256190328	0.458647975539704	-0.723912221043335	237	5	1167	62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Elymus canadensis"	"Palearctic_West"	740	29	NA	0	1	0.93519	9.2393	0	3733	0	0	0	0	83.548	9.043	531	12.951	-0.137141693944217	-0.305372241047672	0.400892967038099	-1.40281052787991	0.485277102575168	-0.728937010295864	310	-116	860	49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Epilobium brachycarpum"	"Palearctic_West"	541	104	NA	0.0131	0.9869	0.62794	27.77994	3	3704	0.364	0.003	3	0.005	68.708	2.473	465	3.345	-0.0983372089032157	-0.285144257594332	0.0654542414277163	-1.00690966296124	0.469892695524218	-0.735406013391916	301	17	352	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Epilobium ciliatum"	"Australian"	813	104	NA	0.00965	0.99035	0.26795	97.28907	18	3523	0.939	0.005	18	0.023	55.856	0.574	386	0.932	-0.305550847717586	-0.649239306138257	-0.190483115563545	-1.52519141391589	-0.758915285637865	-0.215405330385189	246	-1	1131	57	"M2A"	0.998917563377337	0	3.49823743212653	3.49588800352934	3.3430554646799	3.70960175751183	3.7235630576364	NA	NA	NA	NA	NA	0	0	1	NA	0.00104639160358289	4.821	NA	226.999	0	NA
"Epilobium ciliatum"	"Palearctic_West"	1378	2748	NA	0.00039	0.99961	0.46556	22.58076	13	3412	0.009	0	13	0.015	90.408	4.004	553	1.567	0.135504466946491	-0.534924378533353	0.476405151486485	-1.20832806386745	0.562673181651329	-0.737594345330607	270	-80	780	39	"M2A"	0.999531530094661	0	2.00557820139173	1.97565696273398	1.8245193402468	2.12725822632841	2.26585966945395	NA	NA	NA	NA	NA	0	0	0.997971454704984	NA	0.00127934819133746	4.857	NA	226.999	0	NA
"Epilobium hirsutum"	"Australian"	2881	8	NA	0	1	0.93162	7.2378	0	3700	0	0	0	0	28.539	3.943	592	45.538	0.170306683981851	-1.09488408175896	-0.0230287816666468	-1.17589267787464	-0.765027733395978	-0.149465723323411	281	-96	1009	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Epilobium hirsutum"	"Nearctic"	2998	71	NA	0	1	0.16214	43.17243	0	3581	0	0	0	0	5.182	0.12	552	3.209	0.186099679365254	-1.08058221407962	0.162556503755301	-1.29277999533483	0.167787034662245	-0.535885062588429	256	-42	927	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Epilobium parviflorum"	"Australian"	2646	7	NA	0	1	0.57188	19.06427	0	3868	0	0	0	0	13.856	0.727	393	8.932	0.241453709012054	-1.18926555753111	0.0812417759484273	-1.57769215181668	-0.837782669256002	-0.0584271116769763	271	-90	1017	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Epilobium parviflorum"	"Nearctic"	2687	15	NA	0	1	0.09297	72.64627	0	3750	0	0	0	0	2.308	0.032	399	2.558	0.246765821721896	-1.18667350266608	0.136539865331848	-1.25432350327122	0.145643023905599	-0.579944268969957	271	-90	1017	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Epiphyllum phyllanthus"	"Panamanian"	319	42	NA	0.00928	0.99072	0.24336	181.64927	15	3385	1.686	0.007	15	0.016	62.624	0.345	459	0.964	-1.78295150884633	-1.92216667278061	-1.89291397386045	-1.21430658155703	-1.78855436507792	-1.42347796097595	318	195	2115	45	"M2A"	0.990434990759594	0	2.08442217145167	2.07957443630028	1.96859304565687	2.22325743529905	2.30425896363012	NA	NA	NA	NA	NA	0.634534238480113	0	0	NA	0.0184942455915563	1.377	NA	52.528	0	NA
"Equisetum arvense"	"Australian"	3460	31	NA	0.00194	0.99806	0.4263	43.52316	1	3683	0.084	0.003	1	0.002	13.692	0.315	475	3.209	0.186718020892412	-1.18876721599402	-0.0634437288941077	-1.8172672304929	-0.706441177757123	-0.259161235554814	251	6	830	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Eragrostis cilianensis"	"Australian"	811	541	NA	0	1	0.17341	43.37637	0	3249	0	0	0	0	30.815	0.71	613	1.384	-0.713507937325838	-0.281639032493981	-0.545659374447472	-0.586010298313265	-0.988394085248231	0.00830343379900327	315	-5	994	61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Eragrostis cilianensis"	"Nearctic"	806	904	NA	0.00237	0.99763	0.06391	107.55098	18	3223	0.255	0.001	18	0.017	10.898	0.101	418	0.613	-0.687682855427938	-0.32149037447149	-0.557807191281371	-0.0256932521009745	-0.107786534613967	-0.527203766862287	272	14	1164	73	"M3B"	0.606295259433392	0	1.27149447479057	1.2864137968295	1.17214596769972	1.35335823896994	1.39015219920519	4.78494933372216	4.78494933372216	4.73034022916864	4.83955843827568	4.85321071441406	0	0	0.802431556419219	NA	0.344635863721503	1.086	4.228	57.42	227	NA
"Eragrostis cilianensis"	"Neotropical"	802	190	NA	0.04718	0.95282	0.08339	200.33337	105	3236	9.452	0.056	105	0.098	13.995	0.07	383	0.484	-0.680897014017854	-0.335837611741126	-0.802852739456421	-0.00920075488849099	-1.23744667796324	-0.88169876740978	318	-20	1021	59	"M2A"	0.919167398149818	0	2.70995019898577	2.68357329656906	2.3936650819947	3.01695035907934	3.15469235210365	NA	NA	NA	NA	NA	0.245926540720984	0	0	NA	0.131538922301565	1.138	NA	6.476	0	NA
