"species.name"	"region"	"native_occurences"	"naturalised_occurences"	"Dstat_overlap"	"expansion"	"stability"	"unfilling"	"total.occupancy"	"expansion.observed.cells"	"expansion.potential.cells"	"nnd"	"nnd.propn"	"nnd.observed.cells"	"nnd.observed.cells.propn"	"nnu"	"nnu.propn"	"nnu.observed.cells"	"nnu.observed.cells.propn"	"native_center_x"	"native_center_y"	"natur_center_x"	"natur_center_y"	"natur_poten_x"	"natur_poten_y"	"native_center_tmax"	"native_center_tmin"	"native_center_precip"	"circular_model"	"circ_rstat"	"circ_pstat"	"mean_exp_dist1"	"median_exp_dist1"	"ten_exp_dist1"	"ninety_exp_dist1"	"max_exp_dist1"	"mean_exp_dist2"	"median_exp_dist2"	"ten_exp_dist2"	"ninety_exp_dist2"	"max_exp_dist2"	"proportion_tmax"	"proportion_tmin"	"proportion_precip"	"proportion_cold"	"proportion_dry"	"CV"	"exp_dir1"	"exp_dir2"	"concentration_dir1"	"concentration_dir2"	"alt_circular_model"
"Centaurea jacea"	"Palearctic_West"	2636	33	0.31	0	1	0.52901	11.07106	0	2707	0	0	0	0	17.743	1.603	345	9.583	0.0641350643519718	0.250138843990658	0.0224808302019433	0.309718769156122	0.273628111859411	0.127951049878304	250	-83	814	"M5B"	0.856698041582527	0	0.449901229828531	0.411992466903204	0.186697738245874	0.773821078399933	1.03928671649418	0.581982817322095	0.569720248320056	0.238196035905389	0.939371019249757	1.03928671649418	0.172831530362358	0.361225147647552	0.821559122243636	0	0.00229433613506184	0.25436387566018	2.842	2.015	4.072	38.562	NA
"Centaurea melitensis"	"Afrotropical"	453	29	0.605	0.02642	0.97358	0.30726	25.30755	4	2942	0.669	0.02	4	0.027	10.083	0.398	88	1.419	-0.526932807905756	-0.435349695239096	-0.41003074327668	-0.430201399568768	-0.73879636952169	-0.524841410821168	344	-71	715	"M5A"	0.785352647869505	0	0.453689216640451	0.494196495671585	0.221895071143804	0.642614386860202	0.677046162297379	0.576267171887865	0.595404322751265	0.297439508434303	0.84541458896733	0.940105534332116	0	0	0.0381481936942495	0.711408934841221	0.20124615685164	0.341200207313868	6.094	0.938	6.816	6.816	NA
"Centaurea melitensis"	"Australian"	453	794	0.664	0.11154	0.88846	0.04643	25.72057	67	2942	2.869	0.087	67	0.459	1.523	0.059	28	0.151	-0.526932807905756	-0.435349695239096	-0.634811422117118	-0.655568867359441	-0.683276869206716	-0.632471646546291	344	-71	715	"M5B"	0.495209684178701	0	0.408969198829013	0.426501513530028	0.175072473910716	0.604488949836893	0.852964180112644	0.773264903020905	0.792493535193327	0.345901744659032	1.1552557854435	1.4289360033093	0.0666279123105988	0.0711103689268469	0.259929364169506	0.457915666348519	0.186619561799748	0.598717691550767	5.243	1.244	1.152	3.876	NA
"Centaurea melitensis"	"Nearctic"	453	326	0.478	0.25885	0.74115	0	76.17304	215	2942	19.717	0.601	215	1.473	0	0	0	0	-0.526932807905756	-0.435349695239096	-0.627756477689944	-0.457965938372044	-0.455333392549376	-0.261141786943747	344	-71	715	"M5B"	0.394452577363085	0	0.679185801521059	0.66783561435422	0.313864038693913	1.02892566147739	1.33207099192282	0.63916128055879	0.681742956136751	0.290318693986518	0.893664286232701	1.37270044892746	0.490746022468171	0.346496591859626	0.24354325937543	0.0711429782658593	0.173019666664762	0.877371571769126	1.674	4.086	4.568	1.884	NA
"Centaurea melitensis"	"Neotropical"	453	51	0.372	0.46906	0.53094	0.00244	112.54639	234	2942	52.791	1.609	234	1.603	0.08	0.001	5	0.013	-0.526932807905756	-0.435349695239096	-0.625374915674642	-0.124848416411917	-0.703265103216215	-0.39719884133739	344	-71	715	"M5B"	0.623459732806666	0	0.529861676875727	0.56488564712448	0.242438637405776	0.779361158873762	0.86878862202082	0.733719740369196	0.769384784181035	0.353865243388849	1.08511350389203	1.23590088342526	0.0496331454262111	0.0477333910342185	0.197281381660723	0.565153261899488	0.122128678160389	0.73583672630662	6.172	1.122	0.749	5.919	NA
"Centaurea melitensis"	"Palearctic_West"	453	53	0.077	0.56075	0.43925	0.89066	31.37373	62	2942	17.593	0.536	62	0.425	29.227	0.932	115	1.237	-0.526932807905756	-0.435349695239096	0.0203403273949096	0.374829169128323	-0.259777535403171	-0.167312671218625	344	-71	715	"M2C"	0.910931514464138	0	0.505793372691986	0.537957418919655	0.273343204848115	0.752569804881637	0.836497624244689	NA	NA	NA	NA	NA	0	0	0.292639649224944	0.548338047926897	0.0163976737984348	0.240707795754204	1.327	NA	13.956	0	NA
"Centaurea solstitialis"	"Australian"	379	143	0.402	0.02826	0.97174	0.24247	17.78593	16	2888	0.503	0.016	16	0.08	7.67	0.431	105	0.946	-0.323097958062919	-0.108894577157569	-0.639603880747465	-0.374553064811508	-0.719003778222158	-0.676183957226831	277	4	674	"M5B"	0.83230193056487	0	0.298616589691224	0.313649384197604	0.156662129204435	0.437882821840903	0.490950650656985	0.757501408876569	0.76612935235201	0.360306487567153	1.18210506493162	1.39701354263876	0.0290804440449635	0.0350018532265699	0.354490477997854	0.475465899440569	0.0255935599421187	0.485900590871622	5.733	1.303	1.286	6.709	NA
"Centaurea solstitialis"	"Nearctic"	381	201	0.396	0.23167	0.76833	0.01166	93.81059	155	2881	21.733	0.672	155	0.749	0.377	0.004	20	0.058	-0.322749037057414	-0.111287665481193	-0.53839028572209	-0.337704141959121	-0.236006720793891	-0.217136394641139	277	4	674	"M5B"	0.468644253227239	0	0.813618122949909	0.760861532459891	0.389080993116548	1.47631038117186	1.92396298717103	0.699474683719641	0.727195578865229	0.335669386734581	1.01375445199343	1.19688895864741	0.509753325157031	0.40538159153405	0.336867332703978	0.0446625702508605	0.103176222724603	0.841644696245312	3.816	1.905	1.768	15.5	NA
"Centaurea solstitialis"	"Neotropical"	377	20	0.454	0.24095	0.75905	0.12466	68.10232	43	2923	16.409	0.54	43	0.261	3.791	0.056	64	0.444	-0.320829860561128	-0.106278918563387	-0.540710883187435	-0.245215179089489	-0.515848664941938	-0.369053644384988	304	-68	788	"M5B"	0.508651865344294	0	0.467039913224927	0.499604379413029	0.23584012622022	0.651651731128455	0.707770855806376	0.560554060604984	0.603550529719348	0.254975990148397	0.802984454904796	0.908514618166883	0.0533026616574142	0.0611270906208389	0.293023268744083	0.456722027763595	0.202042414092971	0.802379954514916	6.283	1.333	0.89	3.921	NA
"Centaurea solstitialis"	"Palearctic_West"	381	405	0.272	0.02459	0.97541	0.60008	11.31342	21	2881	0.278	0.009	21	0.101	19.419	1.716	145	1.747	-0.322749037057414	-0.111287665481193	0.0495375099278251	0.246970960762494	-0.028398747216205	-0.0802289552541064	277	4	674	"M2C"	0.877412354657938	0	0.700623337915795	0.691434706958993	0.322726071898838	1.12954712954519	1.39527713013623	NA	NA	NA	NA	NA	0.00338745734723259	0.0234237710766304	0.587633510291478	0.322579848617361	0.0264351041663691	0.36645143547166	1.493	NA	14.592	0	NA
