"species.name"	"region"	"native_occurences"	"naturalised_occurences"	"Dstat_overlap"	"expansion"	"stability"	"unfilling"	"total.occupancy"	"expansion.observed.cells"	"expansion.potential.cells"	"nnd"	"nnd.propn"	"nnd.observed.cells"	"nnd.observed.cells.propn"	"nnu"	"nnu.propn"	"nnu.observed.cells"	"nnu.observed.cells.propn"	"native_center_x"	"native_center_y"	"natur_center_x"	"natur_center_y"	"natur_poten_x"	"natur_poten_y"	"native_center_tmax"	"native_center_tmin"	"native_center_precip"	"circular_model"	"circ_rstat"	"circ_pstat"	"mean_exp_dist1"	"median_exp_dist1"	"ten_exp_dist1"	"ninety_exp_dist1"	"max_exp_dist1"	"mean_exp_dist2"	"median_exp_dist2"	"ten_exp_dist2"	"ninety_exp_dist2"	"max_exp_dist2"	"proportion_tmax"	"proportion_tmin"	"proportion_precip"	"CV"	"exp_dir1"	"exp_dir2"	"concentration_dir1"	"concentration_dir2"	"alt_circular_model"
"Melilotus officinalis"	"Neotropical"	1883	8	0.379	0.03894	0.96106	0.12968	109.96557	10	2641	4.282	0.167	10	0.022	3.33	0.03	280	1.582	-0.0173977808243596	0.132960111123649	-0.147122308335138	0.111554055084148	-0.256535821731754	-0.128249245197258	237	-11	677	"M2B"	0.971020985668432	0	1.24540876111988	1.24808647250338	1.18397434982239	1.30470100331057	1.30817593066023	NA	NA	NA	NA	NA	0.00849983393807919	0.0611426284708563	0.991500166061921	0.137292327802817	1.728	NA	227	0	NA
"Melilotus officinalis"	"Palearctic_West"	1864	696	0.381	0.03478	0.96522	0.2394	25.77895	78	2668	0.897	0.036	78	0.186	5.973	0.232	255	1.049	-0.022945090938919	0.137718386099759	0.209854550511797	0.414847986108096	0.390593388968774	0.0712551494818838	234	-1	669	"M2A"	0.991181010333887	0	2.12239597205753	2.06387539238667	1.55461289159108	2.65015519818672	3.29390921187884	NA	NA	NA	NA	NA	0	0	0.992497530712955	0.0644465024167173	1.923	NA	56.949	0	NA
"Melilotus officinalis"	"Saharo-Arabian"	1816	6	0.017	0	1	0.97433	6.86432	0	2700	0	0	0	0	23.495	3.423	373	24.867	-0.0122924332756557	0.104195086414045	-0.539731468696308	-0.687980936196652	-0.295768719390274	-0.797333041900572	239	-12	658	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Melilotus officinalis"	"Sino-Japanese"	1880	15	0.107	0.40241	0.59759	0.93959	46.51283	35	2651	18.717	0.733	35	0.08	23.998	0.516	377	3.968	-0.0173347877401045	0.131801202364623	-0.883356339908511	0.629827585396284	0.304686682776652	0.175728579644339	251	-45	731	"M2A"	0.983266490852875	0	1.56193902566346	1.53870483497634	1.3693356961586	1.81638464653688	1.89015484643252	NA	NA	NA	NA	NA	0.152595651531832	1	0.93114421040492	0.0217872568427387	2.682	NA	30.137	0	NA
"Melinis minutiflora"	"Australian"	87	58	0.744	0.03603	0.96397	0.03272	113.73501	56	2694	4.098	0.039	56	0.142	3.463	0.03	51	0.128	-1.16467000364619	0.467528113019116	-1.30124549126239	0.563984500729079	-1.01311229002078	-0.287427726093977	333	8	1407	"M2A"	0.99946791562258	0	3.31405937486777	3.22641609493194	2.81341690313757	3.82778392497805	3.92796745910254	NA	NA	NA	NA	NA	0	0	0.99991524294383	0.0823081638657553	2.048	NA	226.999	0	NA
"Melinis minutiflora"	"Nearctic"	88	33	0.674	0.01903	0.98097	0.19564	77.04656	12	2721	1.466	0.014	12	0.033	20.175	0.262	133	0.541	-1.16886860435957	0.483185889590005	-1.29697002942304	0.427558916601188	-0.731834195094076	0.0960031963149518	294	109	1257	"M2A"	0.997949140720955	0	2.29628241112826	2.37175933359276	2.18893151445223	2.51212573544368	2.5642609091059	NA	NA	NA	NA	NA	0	0	1	0.0142001155807548	2.139	NA	227	0	NA
"Melinis minutiflora"	"Neotropical"	90	179	0.673	0.0397	0.9603	0.03851	79.61553	93	2677	3.161	0.029	93	0.226	4.264	0.054	59	0.133	-1.18299598660486	0.492052452414855	-1.32126101609525	0.611022357405877	-1.5946958462839	0.49400144103451	298	101	1282	"M5B"	0.826569967626675	0	1.66294864755303	1.69165383602721	1.43777550350517	1.87574709108767	1.92124917231143	2.06149383621576	1.73171689364106	1.48261649923904	2.95458530740737	3.12101655693413	0	0.0149570860209409	0.142382095447147	0.371934302378466	0.428	1.738	34.406	3.517	NA
"Melinis minutiflora"	"Oceanian"	28	13	0.633	0.16429	0.83571	0.1558	126.70671	41	2866	20.817	0.212	41	0.185	15.289	0.121	66	0.335	-1.59716191837005	0.871382281233133	-1.70433092304286	1.30180433135743	-1.90137340658002	1.23135790240558	301	154	1615	"M2A"	0.829971237167686	0	1.01795824348943	1.01995882797952	0.897276742164458	1.13721709843255	1.15990913121978	NA	NA	NA	NA	NA	0.00716009888211691	0.0332577271672907	0.344323238704302	0.132786335059162	1.198	NA	3.301	0	NA
"Melinis minutiflora"	"Panamanian"	85	69	0.209	0.25623	0.74377	0.02459	207.79528	273	2721	53.244	0.519	273	0.744	2.523	0.012	26	0.042	-1.21393604372048	0.523674595793355	-1.81468534430879	1.12488585460847	-1.68865121238423	0.553406441830877	298	105	1308	"M5A"	0.816707944029679	0	2.10866236415285	2.10168058887761	1.5019058134883	2.75218520762729	3.03721295441716	1.18390417879341	1.06376903179894	0.793609722174876	1.83931009069598	2.2542287327601	0.134310253861404	0.222522508329248	0.827955363609553	0.193618614237384	1.915	3.14	6.264	6.264	NA
"Mentha aquatica"	"Australian"	2654	7	0.09	0	1	0.82316	28.8461	0	2812	0	0	0	0	23.727	0.823	228	4.75	-0.0676480783525072	0.328471134128687	-0.655932510081676	0.371937330200197	-0.653868897233406	-0.435058239203057	264	-94	941	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
