"species.name"	"region"	"native_occurences"	"naturalised_occurences"	"Dstat_overlap"	"expansion"	"stability"	"unfilling"	"total.occupancy"	"expansion.observed.cells"	"expansion.potential.cells"	"nnd"	"nnd.propn"	"nnd.observed.cells"	"nnd.observed.cells.propn"	"nnu"	"nnu.propn"	"nnu.observed.cells"	"nnu.observed.cells.propn"	"native_center_x"	"native_center_y"	"natur_center_x"	"natur_center_y"	"natur_poten_x"	"natur_poten_y"	"native_center_tmax"	"native_center_precip"	"circular_model"	"circ_rstat"	"circ_pstat"	"mean_exp_dist1"	"median_exp_dist1"	"ten_exp_dist1"	"ninety_exp_dist1"	"max_exp_dist1"	"mean_exp_dist2"	"median_exp_dist2"	"ten_exp_dist2"	"ninety_exp_dist2"	"max_exp_dist2"	"proportion_tmax"	"proportion_precip"	"CV"	"exp_dir1"	"exp_dir2"	"concentration_dir1"	"concentration_dir2"	"alt_circular_model"
"Digitaria sanguinalis"	"Nearctic"	1091	479	NA	0.01948	0.98052	0.04517	86.0838	74	1961	1.677	0.044	74	0.108	1.733	0.02	307	0.675	-0.21435912650675	-0.283142431225842	-0.570276652500504	0.129842338130675	-0.0174910875755132	-0.191727688778251	262	936	"M5B"	0.692740095398001	0	1.55805951221311	1.51580583798301	1.3664128828803	1.82672440522581	2.14937217088713	2.01342711975024	2.01042926023168	1.5885154085225	2.58073171145703	2.75513509756351	0.572290910158781	0.44297116476505	0.253584472831161	2.563	4.111	8.752	56.425	NA
"Digitaria sanguinalis"	"Neotropical"	1088	90	NA	0.09162	0.90838	0.05163	128.66617	172	2076	11.788	0.314	172	0.3	1.937	0.015	157	0.267	-0.210619366959464	-0.281976266964959	-0.813767114037272	-0.261572328785621	-1.1037337207048	-0.523385771483518	261	933	"M5B"	0.677944849065283	0	0.903687318746855	0.891102356722282	0.673554548623317	1.14182440512326	1.34929772968313	1.83836508478039	1.77278263126218	0.997642939813817	2.69852042278623	2.87047456213235	0.755837680566252	0.120465060216414	0.64383517220071	2.016	4.268	23.832	0.641	NA
"Digitaria sanguinalis"	"Palearctic_West"	1046	800	NA	0	1	0.32667	12.49048	2	2174	0	0	2	0.004	10.296	0.824	337	2.407	-0.154267381423465	-0.247555920002514	0.133687095102326	-0.523685699362451	0.284538578949299	-0.360134810317797	260	890	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Digitaria sanguinalis"	"Panamanian"	971	19	NA	0.39896	0.60104	0.68555	223.09604	224	2213	89.006	2.364	224	0.514	25.814	0.116	203	0.444	-0.239763147417609	-0.319033630722038	-1.7651445856498	-0.959653465506553	-1.38025924918638	-0.714924753350876	261	959	"M5A"	0.754561165148973	0	1.22074592530754	1.17919379140416	0.825480004091913	1.69835814197247	1.9907929844953	1.48905511184845	1.48722359344054	0.795498555667664	2.1735383593418	3.2996184918888	0.632851968458984	0.471362711690341	0.437736123736515	2.934	4.627	6.536	6.536	NA
"Dioscorea bulbifera"	"Nearctic"	487	19	NA	0.00554	0.99446	0.17678	87.60106	6	1946	0.485	0.006	6	0.009	14.73	0.168	399	1.287	-1.41776400538705	-0.406466588328487	-1.3757083785381	-0.632803095695985	-0.393146879437409	-0.166181826510877	334	1571	"M2A"	0.987193191292571	0	0.514772400897668	0.485049447794941	0.409555402358051	0.624450025334198	0.633170114411414	NA	NA	NA	NA	NA	0	0	0.0133199125549671	6.283	NA	38.987	0	NA
"Dioscorea bulbifera"	"Neotropical"	514	18	NA	0.0359	0.9641	0.07759	261.124	33	1773	9.373	0.091	33	0.038	7.994	0.031	317	0.535	-1.50169506235683	-0.516097727543323	-1.47347267453956	-1.04323331276342	-1.54395907450914	-0.7732967103828	332	1663	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Dioscorea bulbifera"	"Panamanian"	506	14	NA	0.05143	0.94857	0.06371	312.36178	63	1881	16.064	0.16	63	0.082	6.381	0.02	204	0.325	-1.50808597351498	-0.523812583620257	-1.87964749079577	-1.19648053513092	-1.66518908370583	-0.903325708081946	332	1671	"M5B"	0.743962515012194	0	1.50640551878429	1.37460911836384	1.04027753699964	2.25405838807939	2.49873782454982	1.22330387974598	1.22712177353486	1.08995107382295	1.33720246923556	1.38762785511587	0.459962148867747	0.469065194965106	0.48428642859561	3.102	5.382	10.383	19.15	NA
"Dipsacus fullonum"	"Australian"	2168	50	NA	0.03745	0.96255	0.06083	50.41187	26	2325	1.888	0.072	26	0.08	1.592	0.032	155	0.795	0.0423783054134094	-0.493492305840648	-0.118750894225823	-0.626490952887475	-0.440564648328876	0.435631164565428	231	914	"M2A"	0.99740201571333	0	2.15078075928731	2.03600650842198	1.72022840573603	2.70201508985843	2.77901016958353	NA	NA	NA	NA	NA	0	1	0.00225346272333526	4.421	NA	192.708	0	NA
"Dipsacus fullonum"	"Nearctic"	2172	203	NA	0.09887	0.90113	0.12462	61.05339	104	2316	6.036	0.23	104	0.312	3.271	0.054	124	0.396	0.042242921295779	-0.495438913225139	-0.492880061372154	-0.115181675368151	0.0132321607443965	-0.214008604892275	230	915	"M5B"	0.39820232526822	0	0.987255732563267	1.0086016023778	0.725886658324564	1.27275609946599	1.30687605911588	1.53297299446642	1.4815765690408	1.20005479164912	1.94628271553538	2.10733928090493	0.0671115634988361	0.621882019960291	0.423879309906941	1.152	3.79	24.744	8.435	NA
"Dipsacus fullonum"	"Neotropical"	2170	11	NA	0.41232	0.58768	0.00045	350.60834	320	2340	144.563	5.534	320	1.036	0.012	0	15	0.024	0.0428461742568946	-0.497396041783144	-0.430673520159295	-0.654629867761556	-0.453315298418089	-0.0661021211378322	230	915	"M5B"	0.460210923525857	0	1.54896484914398	1.55588138634744	0.966810375084199	2.13339632753035	2.34311179523685	1.7599175752851	1.77737544492369	1.38797806609718	2.1164861586439	2.24367623833789	0.230066766526197	0.401954051919155	0.544625293931593	3.788	5.59	1.557	38.751	NA
"Dipsacus fullonum"	"Palearctic_West"	2172	41	NA	0	1	0.47589	7.83878	0	2316	0	0	0	0	12.491	1.594	277	4.946	0.042242921295779	-0.495438913225139	0.350654918208248	-0.664822430101048	0.11267125657473	-0.304766349242638	230	915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
