"species.name"	"region"	"native_occurences"	"naturalised_occurences"	"Dstat_overlap"	"expansion"	"stability"	"unfilling"	"total.occupancy"	"expansion.observed.cells"	"expansion.potential.cells"	"nnd"	"nnd.propn"	"nnd.observed.cells"	"nnd.observed.cells.propn"	"nnu"	"nnu.propn"	"nnu.observed.cells"	"nnu.observed.cells.propn"	"native_center_x"	"native_center_y"	"natur_center_x"	"natur_center_y"	"natur_poten_x"	"natur_poten_y"	"native_center_tmax"	"native_center_precip"	"circular_model"	"circ_rstat"	"circ_pstat"	"mean_exp_dist1"	"median_exp_dist1"	"ten_exp_dist1"	"ninety_exp_dist1"	"max_exp_dist1"	"mean_exp_dist2"	"median_exp_dist2"	"ten_exp_dist2"	"ninety_exp_dist2"	"max_exp_dist2"	"proportion_tmax"	"proportion_precip"	"CV"	"exp_dir1"	"exp_dir2"	"concentration_dir1"	"concentration_dir2"	"alt_circular_model"
"Hordeum murinum"	"Afrotropical"	2493	79	NA	0.0055	0.9945	0.26323	32.56051	6	2191	0.179	0.005	6	0.013	8.899	0.273	316	2.135	-0.0353157347303317	-0.290510751462569	-0.0264083221162829	0.258997950811058	-0.641843587207159	0.720836233893289	249	854	"M2A"	0.997896200074105	0	1.49073722899533	1.48985486140507	1.42663467392436	1.55501176858944	1.56765601885913	NA	NA	NA	NA	NA	0	0	0.00186598479579059	5.951	NA	226.999	0	NA
"Hordeum murinum"	"Australian"	2480	859	NA	0.00299	0.99701	0.01581	34.68078	25	2179	0.104	0.003	25	0.053	0.532	0.015	165	0.5	-0.0363748474117525	-0.294195514897052	-0.269964960306519	0.317313322300115	-0.505050095309781	0.724907413993692	249	855	"M2A"	0.992901572364958	0	2.23954886637471	2.35911573228518	1.78837928026287	2.5196072775768	2.59661344991099	NA	NA	NA	NA	NA	0	0.902314657359229	0.00650634754550694	4.483	NA	70.691	0	NA
"Hordeum murinum"	"Nearctic"	2519	462	NA	0.03297	0.96703	0.01875	83.27442	120	2142	2.745	0.08	120	0.237	0.644	0.008	120	0.237	-0.032616464946931	-0.299643460710372	-0.36494210921688	0.458806135433928	0.0596407767457952	-0.198326265821397	248	857	"M2B"	0.715944680799767	0	1.63573225627933	1.63573225627933	1.35622570715117	1.91523880540749	1.98511544268953	NA	NA	NA	NA	NA	0.609002844508181	0.16688832254072	0.144675607545019	1.749	NA	226.999	0	NA
"Hordeum murinum"	"Neotropical"	2499	65	NA	0.11647	0.88353	0.03375	126.62394	60	2191	14.748	0.443	60	0.131	1.124	0.009	198	0.619	-0.0277825675682883	-0.314499823638682	-0.00188676175113648	0.0412345995286709	-0.414580601149712	-0.0678765401459977	247	864	"M2A"	0.921188575374112	0	1.45203283261926	1.4605677280143	1.2580927010281	1.64754843789242	1.69185953981047	NA	NA	NA	NA	NA	0.00668286015284342	0.00490483800976203	0.243451135472189	0.202	NA	6.633	0	NA
"Hordeum murinum"	"Palearctic_West"	2518	20	NA	0	1	0.50569	21.9886	0	2155	0	0	0	0	17.345	0.789	421	5.767	-0.0319758912075373	-0.299602962233142	0.291249610744582	-0.719946145041237	0.275859453132642	-0.356769396868684	248	857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Hordeum murinum"	"Sino-Japanese"	2476	7	NA	0.75673	0.24327	0.99816	39.40446	49	2236	29.819	0.922	49	0.119	32.28	0.819	393	5.696	-0.023629204023523	-0.326221416654465	-1.27845846064047	-0.884245657356989	-0.0579002751991826	-0.398205877009209	246	865	"M2A"	0.985849694339062	0	1.47263526332687	1.45022259665616	1.2442558510333	1.749981859479	1.91573667545197	NA	NA	NA	NA	NA	0.0363650108292626	1	0.0205126969511958	3.629	NA	35.59	0	NA
"Hydrilla verticillata"	"Nearctic"	337	111	NA	0.02545	0.97455	0.29866	49.18606	19	1995	1.252	0.011	19	0.029	34.128	0.694	416	1.619	-1.09180792246371	-0.435720419210709	-0.991563767314513	-0.106588426875645	-0.103159171823205	-0.154689190796637	310	1429	"M2A"	0.993847606547229	0	1.91449221968934	1.93601946835024	1.69909514528248	2.09036946146802	2.14318190945707	NA	NA	NA	NA	NA	1	0	0.00498037876226676	1.816	NA	81.521	0	NA
"Hydrilla verticillata"	"Panamanian"	321	14	NA	0.41863	0.58137	0.2001	508.55957	447	2066	212.9	1.875	447	0.767	22.72	0.045	177	0.208	-1.25650635911904	-0.593724438134521	-2.57243002996952	-1.9446746955692	-1.59598243382748	-0.829422705067186	310	1583	"M2A"	0.860687875860587	0	3.07479012832008	3.08697332441825	1.79617257201417	4.40116891342091	5.11898968051199	NA	NA	NA	NA	NA	0.110300817745923	0.857424586001762	0.142030572380488	3.838	NA	3.928	0	NA
"Hydrocharis morsus-ranae"	"Nearctic"	1437	26	NA	0.00584	0.99416	0.81683	7.01893	5	2472	0.041	0.004	5	0.028	7.66	1.091	131	2.569	0.181178872970603	-0.505195136084931	-0.370069181067264	-0.397769292787531	0.186798294213124	-0.325855208040028	220	852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Hydrocleys nymphoides"	"Australian"	96	16	NA	0.1234	0.8766	0.31651	84.16226	23	2415	10.385	0.186	23	0.098	17.65	0.21	104	0.68	-0.992024625109437	-0.192184780929704	-0.681118518424625	-0.40786183449639	-0.596280728162348	0.420071801624419	319	1265	"M2A"	0.977052465410026	0	1.13495370271366	1.11860564045142	0.94309723701233	1.35701121551486	1.46052589152018	NA	NA	NA	NA	NA	0	0	0.0226283503493768	5.068	NA	22.048	0	NA
"Hylocereus undatus"	"Australian"	53	14	NA	0.0473	0.9527	0.17847	95.62433	24	2363	4.523	0.058	24	0.084	13.874	0.145	88	0.396	-1.05398588555632	-0.259718712961333	-0.827335564062826	-0.389577568125096	-0.665515263078161	0.128194575125063	319	1327	"M4B"	0.765875802988727	0	0.725615343734515	0.737568637710492	0.620329478032985	0.826119891845655	0.848257705379446	0.94997300404793	0.929167217896827	0.859771569378518	1.06098022486844	1.11548334558452	0	0	0.389515790777683	2.005	5.147	0.946	28.492	NA
"Hylocereus undatus"	"Neotropical"	55	23	NA	0.05415	0.94585	0.18157	92.7578	43	2295	5.023	0.054	43	0.121	16.831	0.181	126	0.465	-1.08381630953976	-0.285387215710645	-0.992632025853095	-0.703702806460448	-1.32606926961702	-0.526002182748221	319	1353	"M5B"	0.78423874894056	0	1.15089464489568	1.14741594243052	1.06110708171406	1.22532229227939	1.31765784339808	2.04408494712617	2.13776365516225	1.52725254434198	2.3385282277471	2.43418279251539	0	0.516411811788883	0.256683198763111	5.305	4.183	3.76	226.999	NA
"Hylocereus undatus"	"Panamanian"	55	18	NA	0.13949	0.86051	0.24553	156.78159	54	2295	21.869	0.236	54	0.153	22.761	0.145	126	0.447	-1.08381630953976	-0.285387215710645	-1.34810325729726	-0.889866786172505	-1.38070560267644	-0.567065304203037	319	1353	"M5B"	0.741289088440776	0	1.40788612536977	1.42281208006623	1.26056540568819	1.52157852216907	1.54322694925885	1.48659700676457	1.5038658896523	1.28989142757317	1.6928404043552	1.77684629429994	0	0.646761703000502	0.212069968720351	5.924	4.372	57.443	30.605	NA
"Hymenachne amplexicaulis"	"Australian"	375	94	NA	0.00945	0.99055	0.04638	73.16122	13	2238	0.691	0.011	13	0.032	2.941	0.04	157	0.588	-1.30689789071498	-0.384223370892058	-1.26205001871133	-0.285444376480685	-0.654254566525488	0.421017652897039	328	1508	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Hyoscyamus niger"	"Australian"	1639	9	NA	0.02427	0.97573	0.06674	79.14473	7	2329	1.921	0.091	7	0.022	1.412	0.018	178	1.195	0.0991386562346606	-0.475414364976344	-0.0870763823177794	-0.164924287365003	-0.420141490369759	0.648097158806752	228	877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Hyoscyamus niger"	"Nearctic"	1823	62	NA	0.01229	0.98771	0.16343	36.57461	8	2196	0.45	0.025	8	0.018	2.912	0.08	275	1.478	0.127456969322571	-0.484565209442945	0.0274924290048385	0.0675762591630429	0.177045964306651	-0.238269519857393	225	869	"M2B"	0.90822851665095	0	0.991773897203023	1.01120690269185	0.903303794311324	1.06469759570366	1.06559774376923	NA	NA	NA	NA	NA	0.0131902854813694	0.0542290390804913	0.488963304375925	1.278	NA	172.875	0	NA
"Hyoscyamus niger"	"Palearctic_West"	1820	47	NA	0.11188	0.88812	0.12052	65.57564	67	2212	7.336	0.417	67	0.153	2.118	0.032	246	0.953	0.12811578137987	-0.48435459437168	0.171585642690028	-1.09044520183084	0.328129826674889	-0.386272183827115	225	868	"M2A"	0.991782541594572	0	2.16796754060267	2.16058970484352	1.77292355412629	2.55459976552805	2.83575521472154	NA	NA	NA	NA	NA	0	0.99803613462085	0.0235344545249775	4.108	NA	61.099	0	NA
"Hypericum perforatum"	"Australian"	3017	336	NA	0.0075	0.9925	0.02186	53.30474	26	2088	0.4	0.012	26	0.046	0.728	0.014	235	0.668	-0.00606004004849429	-0.506835881455157	-0.344701558055996	-0.24176811385736	-0.536966892668109	0.66845493130791	233	941	"M2A"	0.993478364727633	0	2.42422887143373	2.34820561661397	2.03635046135597	2.85595439399216	3.23308420957369	NA	NA	NA	NA	NA	0	1	0.0054542423962336	4.448	NA	76.921	0	NA
"Hypericum perforatum"	"Nearctic"	3398	550	NA	0.03451	0.96549	0.03622	74.04689	95	1997	2.556	0.082	95	0.146	1.132	0.015	207	0.383	0.0195683047562955	-0.554877428510875	-0.620637183547837	-0.379590284909318	0.00995644699013186	-0.231059453036885	228	954	"M2B"	0.904146099985298	0	2.50775507714057	2.54102532740857	1.67587446119981	3.21903288378964	3.38686394683844	NA	NA	NA	NA	NA	0.0535673463098118	0.914745149180765	0.165656141289311	4.008	NA	134.23	0	NA
"Hypericum perforatum"	"Neotropical"	3392	16	NA	0.07114	0.92886	0.12735	108.82252	35	2025	7.742	0.25	35	0.056	3.948	0.036	381	1.371	0.0206776658206435	-0.560096260723852	-0.584834294998253	-0.79728064739295	-0.714959501940016	-0.29087348211882	228	955	"M2A"	0.982890894832528	0	1.5170774912115	1.36086369246269	1.11461720804758	2.24505427617079	2.39554617652686	NA	NA	NA	NA	NA	0	0.806344215418184	0.0587144939448651	4.464	NA	29.481	0	NA
"Hypericum perforatum"	"Sino-Japanese"	3358	20	NA	0.32227	0.67773	0.99123	46.07828	60	2139	14.85	0.502	60	0.118	29.335	0.637	432	3.13	0.0282668952459251	-0.543543999371037	-1.34217515175695	-1.08240156834049	-0.483823088475419	-0.426236242119998	228	945	"M2A"	0.979690177813734	0	1.51698665586425	1.52018783383278	1.12212728492814	1.88699386831789	1.98131994916597	NA	NA	NA	NA	NA	0.00188431268257785	1	0.0372574651080272	4.105	NA	24.877	0	NA
"Hypochaeris radicata"	"Afrotropical"	2533	91	NA	0.00023	0.99977	0.2913	16.70921	1	2234	0.004	0	1	0.002	9.188	0.55	293	2.382	0.0345397345202869	-0.55414664762784	-0.199212184620198	-0.338134884925611	-0.702608262017312	0.411625502765867	227	946	"M2A"	1	0	0.891868881097578	0.891868881097578	0.891868881097578	0.891868881097578	0.891868881097578	NA	NA	NA	NA	NA	0	0	0	0.48	NA	227	0	NA
"Hypochaeris radicata"	"Australian"	2667	837	NA	0.04037	0.95963	0.03231	81.70664	60	2163	3.299	0.093	60	0.123	1.141	0.014	154	0.393	0.0143417156428094	-0.620784773860726	-0.376031956253839	-0.19295527418377	-0.480100371344844	0.480040196696527	224	987	"M4B"	0.787841003129672	0	0.698477236480923	0.717830851959772	0.585517172723364	0.802876486372655	0.833918557118004	2.02704939495177	2.02329778826814	1.35485759219972	2.63422891907393	2.92077705460503	9.22513561159603e-05	0.884171223986611	0.493452408756748	1.122	4.264	2.177	32.49	NA
"Hypochaeris radicata"	"Nearctic"	2701	210	NA	0.14134	0.85866	0.00482	124.57438	167	2132	17.607	0.488	167	0.323	0.174	0.001	65	0.105	0.0144387673600919	-0.633713726707372	-0.587663288871164	-0.571137135199361	0.0164367189303737	-0.240617596906014	223	995	"M5B"	0.285172765326723	0	1.99429129432939	1.82578413776273	1.34099877800943	2.91201796875004	3.42705982472832	1.06806748607864	1.05053518681796	0.750453406848036	1.44644933651533	1.65656184134996	0.118815471748505	0.536333202611865	0.480244064954194	3.747	0.977	6.131	19.737	NA
"Hypochaeris radicata"	"Neotropical"	2699	83	NA	0.19807	0.80193	0.02972	135.24001	113	2153	26.787	0.745	113	0.228	1.069	0.008	105	0.208	0.0148190500663883	-0.635236848528808	-0.597754522953962	-1.13048033733022	-0.673707829785239	-0.271159754654986	223	995	"M5B"	0.969124867142146	0	1.58587213371166	1.55276510680781	1.05775827826665	2.14604384818849	2.31392362529558	1.74796264483224	1.76262738141209	1.4169598679118	1.94720856171916	2.31392362529558	0	0.970199133210046	0.258043289205997	4.342	5.369	20.221	6.627	NA
"Hypochaeris radicata"	"Panamanian"	1929	12	NA	0.59958	0.40042	0.5241	222.05063	234	2195	133.137	3.3	234	0.515	21.142	0.095	233	0.512	-0.0706087403401396	-0.703760275663467	-1.53624021400492	-1.94419431237905	-0.998753401877897	-0.482308220761675	224	1070	"M2A"	0.978817583009608	0	2.06583359213074	2.11965337686359	1.25479670970309	2.79551791069741	3.03749047243272	NA	NA	NA	NA	NA	0	0.949133904983477	0.0328207050048227	4.292	NA	23.863	0	NA
"Hypochaeris radicata"	"Sino-Japanese"	2683	32	NA	0.4623	0.5377	0.98249	55.41037	74	2199	25.616	0.731	74	0.164	34.409	0.621	370	2.403	0.0208832970662784	-0.623471193308928	-1.33021899283256	-0.974765389660456	-0.492582679556138	-0.403912958577359	223	987	"M2A"	0.9589303273403	0	1.41662112297738	1.41860798969374	0.930383529378256	1.89806698938627	2.0672518612864	NA	NA	NA	NA	NA	0.0284241507950112	0.983080498006565	0.0627313034574508	3.934	NA	12.442	0	NA
"Impatiens capensis"	"Palearctic_West"	657	195	NA	0.00013	0.99987	0.58915	14.18625	2	2280	0.002	0	2	0.005	37.591	2.65	263	2.435	-0.522173235241081	-0.393733920584778	0.132278571637328	-0.504254542304863	0.11853406565931	-0.282759208688131	275	1134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Imperata cylindrica"	"Madagascan"	856	15	NA	0	1	0.37488	99.68379	0	2112	0	0	0	0	54.742	0.549	345	1.797	-1.06008124819964	-0.41218601473602	-1.3145177257943	-0.87824987841355	-1.22210041865629	-0.510355737919558	309	1403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Imperata cylindrica"	"Nearctic"	1323	12	NA	0	1	0.59122	44.59293	0	1739	0	0	0	0	79.419	1.781	778	5.894	-0.813480994895002	-0.298929808686039	-1.17701426035214	-0.399714851552854	-0.039273919167924	-0.171257784650744	301	1230	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Imperata cylindrica"	"Oceanian"	406	6	NA	0	1	0.82295	90.56718	0	1712	0	0	0	0	120.999	1.336	821	7.078	-1.68700487255473	-1.20811394502236	-2.56349582562575	-2.21212893431552	-2.63893945371984	-2.20007729400591	298	2085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Ipomoea aquatica"	"Madagascan"	202	11	NA	0	1	0.3905	65.11174	0	2168	0	0	0	0	37.706	0.579	330	2.185	-1.25921172603687	-0.0833371661280633	-1.33979056837225	-0.358628020197109	-1.23146679601708	-0.486379924261957	345	1339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Ipomoea aquatica"	"Nearctic"	231	7	NA	0.05951	0.94049	0.45155	123.31593	11	2171	7.339	0.071	11	0.023	46.747	0.379	319	1.876	-1.20233438046699	0.0904850450702861	-1.06212665133726	-0.433736118043582	-0.48227453681473	0.153591772825726	352	1230	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Ipomoea aquatica"	"Neotropical"	213	13	NA	0.03368	0.96632	0.13506	214.60121	31	2057	7.227	0.065	31	0.052	15.021	0.07	197	0.462	-1.28002863000193	-0.0882103278711914	-1.38997595217448	-0.557053028463798	-1.4788986058845	-0.690761606182639	346	1353	"M2C"	0.83654096880846	0	1.4205074165949	1.49844659460724	1.09638718989102	1.59662441415462	1.63815536261259	NA	NA	NA	NA	NA	0.556090884871778	0.373457300625881	0.82032096145462	3.122	NA	14.533	0	NA
"Ipomoea aquatica"	"Oriental"	239	11	NA	0.14033	0.85967	0.57681	238.64612	57	2028	33.488	0.27	57	0.092	71.601	0.3	335	0.977	-1.25462035046911	0.0341598462246492	-2.09710770497551	-1.5151446249391	-1.64793036573521	-0.383596504600568	352	1282	"M2A"	0.987163551472665	0	2.18569208220568	2.1623769252138	1.70620245321372	2.73271662037769	3.03586133019918	NA	NA	NA	NA	NA	0	0.871083486915054	0.0184530313168599	4.481	NA	39.207	0	NA
"Ipomoea aquatica"	"Panamanian"	204	11	NA	0.04367	0.95633	0.47285	147.67516	16	2106	6.449	0.062	16	0.029	49.145	0.333	311	1.254	-1.307798355134	-0.131753713295846	-1.83619411482571	-1.11584820542631	-1.61175080657169	-0.787891492788559	345	1387	"M5A"	0.920297673412765	0	1.41020375284812	1.40240417131147	1.20952271870136	1.57007826362772	1.69077586248648	1.45346407273782	1.47690640347145	1.33349278777864	1.56278645688334	1.58597161722335	0	0.897780862922091	0.0725285936722748	4.276	3.478	11.615	11.615	NA
"Ipomoea purpurea"	"Afrotropical"	324	50	NA	0	1	0.32646	54.26096	0	1879	0	0	0	0	50.652	0.933	525	2.143	-0.706135079723001	-0.34815165367465	-0.370131527243005	-0.268124217043613	-0.885232037813402	0.224384179624617	290	1202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Ipomoea purpurea"	"Australian"	310	54	NA	0	1	0.20521	64.81077	0	1961	0	0	0	0	28.535	0.44	419	1.558	-0.694722359805389	-0.3339587338423	-0.653341213875237	-0.297124365213287	-0.557749705524859	0.654485841612688	290	1191	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Ipomoea purpurea"	"Madagascan"	219	7	NA	0	1	0.55929	54.49789	0	2170	0	0	0	0	85.385	1.567	364	3.165	-0.97331001257429	-0.463562439222352	-0.847358079422935	-0.867368434072307	-1.20709146189575	-0.499604331446509	300	1385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Ipomoea purpurea"	"Nearctic"	330	146	NA	0.006	0.994	0.33415	62.1774	12	1831	0.373	0.002	12	0.015	53.11	0.854	542	1.882	-0.702681180627383	-0.378549801271472	-0.661684332258072	0.103779289956751	0.0292692785024572	-0.225012868054915	288	1215	"M2A"	0.997091996857358	0	2.00601419227971	2.01130432048116	1.91379648602255	2.10599871906323	2.14726729243673	NA	NA	NA	NA	NA	1	0	0.00258377805488319	1.857	NA	172.19	0	NA
"Ipomoea purpurea"	"Oriental"	325	11	NA	0	1	0.55372	61.98845	0	1751	0	0	0	0	91.712	1.48	729	4.314	-0.752808772091685	-0.417743928342539	-0.492839930805574	-0.641320734766232	-1.5996867265309	-0.494452782300587	289	1258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Ipomoea purpurea"	"Palearctic_West"	243	221	NA	0.00314	0.99686	0.28319	52.19445	11	2128	0.164	0.002	11	0.021	28.322	0.543	283	1.137	-0.42413868705544	-0.178876000508134	-0.0409020785960157	-0.172716085867396	0.175153612865597	-0.314524253323719	283	986	"M2A"	0.997502696863947	0	1.62187340468636	1.63047589004646	1.49525953105189	1.72540689248201	1.7603120704239	NA	NA	NA	NA	NA	0	1	0.00277565306169492	4.381	NA	200.467	0	NA
"Ipomoea purpurea"	"Sino-Japanese"	320	40	NA	0	1	0.27324	88.31216	0	1903	0	0	0	0	41.037	0.465	464	1.645	-0.699250186877779	-0.410432426304607	-0.983664782204253	-0.640414084575434	-0.495580410033931	-0.526531902918556	285	1229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Iris pseudacorus"	"Australian"	2925	27	NA	0.07126	0.92874	0.05346	80.28556	23	2243	5.721	0.215	23	0.057	1.421	0.018	203	0.898	0.0541724074647289	-0.60907457235678	-0.17207983271897	-0.751651271077915	-0.450021773888991	0.373339179077771	222	964	"M2A"	0.99731880792099	0	2.00209607925992	1.99507688742636	1.7925815029868	2.24236163401571	2.34531669244896	NA	NA	NA	NA	NA	0	1	0.00225510833448761	4.42	NA	186.691	0	NA
"Iris pseudacorus"	"Nearctic"	3223	178	NA	0.08487	0.91513	0.11364	59.14952	92	2192	5.02	0.219	92	0.201	2.607	0.044	212	0.629	0.082344433917567	-0.608911354961859	-0.516641026118491	-0.2579142552237	0.0596507576959599	-0.257588613448723	220	950	"M5B"	0.259714737309715	2.47733681012218e-208	1.05160270559918	1.04348943769944	0.769125100907758	1.34148707186113	1.47334917446019	1.53301832186853	1.51583551491123	1.26749650031364	1.76508546087822	1.85342685864032	0.137760802421891	0.434120767687277	0.376716116474897	1.073	3.638	23.38	3.797	NA
"Iris pseudacorus"	"Palearctic_West"	3223	10	NA	0	1	0.32511	15.22204	0	2192	0	0	0	0	7.459	0.49	408	8.327	0.082344433917567	-0.608911354961859	0.230280435280489	-0.641900594794495	0.137188053070553	-0.34863346004853	220	950	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Iris pseudacorus"	"Sino-Japanese"	3210	24	NA	0.41563	0.58437	0.99119	31.36602	42	2245	13.037	0.593	42	0.104	21.784	0.695	360	4.186	0.0864213371950586	-0.600330831647075	-1.17939279845629	-0.774402327781153	-0.336452937832447	-0.381261149156496	221	943	"M2A"	0.975655347018897	0	1.26439192614188	1.29848240584803	0.864407219962289	1.60092695197784	1.72841725878993	NA	NA	NA	NA	NA	0.0347771309957597	0.995757424236356	0.0319443819618238	3.624	NA	20.798	0	NA
"Isatis tinctoria"	"Nearctic"	426	92	NA	0.07672	0.92328	0.1655	70.71084	46	2317	5.425	0.154	46	0.139	5.838	0.083	135	0.556	-0.0427438600972528	-0.277062846445078	-0.352153376897425	-4.57417215216805e-05	0.0155019359199801	-0.160678021150482	251	851	"M5B"	0.230624918665264	1.04249962518903e-85	0.917360265638103	0.873443020127212	0.757133145251534	1.13774977710003	1.21842269447788	1.30338470262178	1.32002233146718	1.14630191351864	1.45603236576451	1.48171360229272	0.0272355061566859	0.411396064403968	0.358850515806358	0.905	3.649	17.162	15.298	"M5A"
"Isatis tinctoria"	"Palearctic_West"	426	362	NA	0.01032	0.98968	0.13291	13.17752	42	2317	0.136	0.004	42	0.127	4.688	0.356	162	0.764	-0.0427438600972528	-0.277062846445078	0.141620838394426	-0.529585283416826	0.1144728332323	-0.272030291473195	251	851	"M5A"	0.864403831437979	0	1.12830353433959	1.13052497060236	0.908163029910519	1.35669249334489	1.4839296693991	1.62419408131071	1.78123048592128	1.14258801219912	2.06893187719751	2.15267500676799	0	0.514053031832481	0.175314303712034	5.265	4.285	24.859	24.859	NA
"Jacaranda mimosifolia"	"Afrotropical"	94	18	NA	0.00499	0.99501	0.40048	46.07639	2	2169	0.23	0.002	2	0.004	51.762	1.123	332	2.213	-0.744671416458361	-0.484009679016361	-0.474292645064548	-0.26336812640198	-0.97209451522338	-0.14438745923317	284	1285	"M2A"	1	0	1.17278545654776	1.17278545654776	1.17278545654776	1.17278545654776	1.17278545654776	NA	NA	NA	NA	NA	0	0	0	0.813	NA	227	0	NA
"Jacaranda mimosifolia"	"Australian"	92	69	NA	0.01329	0.98671	0.22792	61.20555	15	2222	0.813	0.007	15	0.035	26.028	0.425	213	0.93	-0.727542164946586	-0.466404988574642	-0.738102934951608	-0.42450236246227	-0.616695184768589	0.0907598202334781	284	1268	"M2B"	0.963062695772559	0	2.02324555687482	2.02133384791692	1.96971934500587	2.07753645232693	2.09158710342944	NA	NA	NA	NA	NA	0	0.981314599649692	0.476528657232936	4.147	NA	227	0	NA
"Jacaranda mimosifolia"	"Nearctic"	94	40	NA	0.0349	0.9651	0.15381	82.63268	34	2170	2.884	0.024	34	0.071	18.858	0.228	186	0.569	-0.713580006948109	-0.468430878052834	-0.579342068996893	-0.104587325398039	0.0276683515605986	-0.267059858050742	283	1262	"M2B"	0.927566128591702	0	2.21324364278718	2.1879185017633	2.12056614062252	2.32064661036662	2.35982511692572	NA	NA	NA	NA	NA	0.0493151517317547	0.942570960618553	0.227494349462612	3.831	NA	226.999	0	NA
"Jacaranda mimosifolia"	"Palearctic_West"	70	9	NA	0.16904	0.83096	0.68274	57.7582	23	2277	9.763	0.087	23	0.062	76.685	1.328	273	2.238	-0.512335034923013	-0.455405221271647	-0.337068049574091	0.224540837785733	0.151194571895439	-0.325189156532655	270	1162	"M2A"	0.977846972920031	0	1.20506603804286	1.17806783579419	0.965810481895175	1.44976605821724	1.5105359489672	NA	NA	NA	NA	NA	0.891186695211888	0	0.0205722638584275	2.054	NA	22.829	0	NA
"Jacaranda mimosifolia"	"Panamanian"	91	12	NA	0.05092	0.94908	0.1953	151.62564	27	2102	7.721	0.061	27	0.049	24.78	0.163	280	0.952	-0.811955533585951	-0.523660753261651	-1.27748881162037	-0.522199600724054	-1.3907625434181	-0.663912976229638	286	1338	"M2A"	0.948880272015963	0	1.10079128039436	1.06565997708151	0.935957212168583	1.24225470101735	1.93877962867717	NA	NA	NA	NA	NA	0.558719922927365	0.571182383440035	0.0612743022912768	3.185	NA	10.053	0	NA
"Juglans nigra"	"Palearctic_West"	350	187	NA	0.14474	0.85526	0.51085	19.53014	62	2434	2.827	0.082	62	0.288	17.544	0.898	95	0.522	-0.731985186614004	-0.0555405168081575	-0.0913260199439221	-0.39472420496943	-0.0313403928798643	-0.102810844325109	311	1074	"M4B"	0.932809797184095	0	0.954359960394386	0.946394183823871	0.615662391720705	1.29259076189807	1.42677315850793	NA	NA	NA	NA	-Inf	0	0.328406505594177	0.110967924384496	4.753	7.895	28.563	0.161	NA
"Juglans regia"	"Australian"	102	19	NA	0.01438	0.98562	0.18291	107.95001	6	2209	1.552	0.013	6	0.014	22.23	0.206	237	1.134	-0.472593223082946	-0.384397119037043	-0.293382860945334	-0.325282471614562	-0.533036761771182	0.482459255206596	272	1108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Juglans regia"	"Nearctic"	138	60	NA	0.02097	0.97903	0.15822	107.50367	30	2054	2.254	0.013	30	0.05	26.505	0.247	250	0.667	-0.21626629061317	-0.352036509912291	-0.376862573044183	0.0744215656317316	0.104054640510346	-0.237674959212384	257	970	"M5B"	0.73616519052415	0	3.09502473562243	3.17869103430969	2.86601766522294	3.29078867503539	3.34930011351414	1.66469012528187	1.66005682666563	1.57047283883384	1.75334598613914	1.82579501286058	0.304682038472631	0.695317961527368	0.299777477967087	3.941	2.303	226.999	66.176	NA
