"species_name","region","kept_natur","thrown_natur","kept_native","thrown_native"
"Bromus japonicus","Nearctic","624","0","472","2"
"Bromus japonicus","Australian","9","0","419","55"
"Bromus japonicus","Palearctic_West","58","0","462","12"
"Bromus racemosus","Palearctic_West","6","0","1638","0"
"Bromus racemosus","Australian","44","0","1630","8"
"Bromus racemosus","Nearctic","121","1","1638","0"
"Bromus secalinus","Palearctic_West","1310","0","399","0"
"Bromus secalinus","Nearctic","181","4","399","0"
"Bromus secalinus","Sino-Japanese","8","0","399","0"
"Bromus secalinus","Australian","11","0","398","1"
"Bromus tectorum","Nearctic","1092","0","1979","0"
"Bromus tectorum","Australian","70","0","1874","105"
"Bromus tectorum","Sino-Japanese","8","0","1945","34"
"Bromus tectorum","Palearctic_West","72","0","1975","4"
"Bromus tectorum","Neotropical","37","0","1971","8"
"Bromus tectorum","Afrotropical","7","0","1856","123"
"Broussonetia papyrifera","Nearctic","52","0","166","8"
"Broussonetia papyrifera","Palearctic_West","97","0","107","67"
"Broussonetia papyrifera","Sino-Japanese","17","0","173","1"
"Broussonetia papyrifera","Oriental","12","0","173","1"
"Broussonetia papyrifera","Neotropical","5","0","174","0"
"Butomus umbellatus","Nearctic","39","0","1711","0"
"Cabomba caroliniana","Australian","41","1","120","3"
"Cabomba caroliniana","Sino-Japanese","7","0","123","0"
"Cabomba caroliniana","Palearctic_West","16","0","62","61"
"Caesalpinia gilliesii","Nearctic","86","2","39","0"
"Caesalpinia gilliesii","Palearctic_West","22","0","37","2"
"Caesalpinia gilliesii","Afrotropical","19","0","38","1"
"Caesalpinia gilliesii","Australian","32","1","37","2"
"Callitriche stagnalis","Australian","245","1","2162","121"
"Callitriche stagnalis","Nearctic","66","0","2283","0"
"Callitriche stagnalis","Sino-Japanese","10","0","2264","19"
"Camelina microcarpa","Nearctic","631","2","904","0"
"Camelina microcarpa","Sino-Japanese","6","0","899","5"
"Camelina microcarpa","Palearctic_West","67","0","904","0"
"Camelina microcarpa","Neotropical","5","0","903","1"
"Campanula rapunculoides","Palearctic_West","796","0","1405","0"
"Campanula rapunculoides","Nearctic","130","3","1405","0"
"Campanula rapunculoides","Australian","8","0","1274","131"
"Capsella bursa-pastoris","Nearctic","1127","0","4504","0"
"Capsella bursa-pastoris","Australian","429","1","3190","1314"
"Capsella bursa-pastoris","Neotropical","94","0","4497","7"
"Capsella bursa-pastoris","Sino-Japanese","125","0","4435","69"
"Capsella bursa-pastoris","Afrotropical","48","0","3237","1267"
"Capsella bursa-pastoris","Panamanian","12","0","2811","1693"
"Capsella bursa-pastoris","Palearctic_East","19","0","4195","309"
"Capsella bursa-pastoris","Saharo-Arabian","13","0","3984","520"
"Capsella bursa-pastoris","Oriental","39","0","4111","393"
"Cardamine impatiens","Nearctic","37","0","1398","1"
"Cardaria draba","Palearctic_West","649","0","344","0"
"Cardaria draba","Nearctic","156","0","344","0"
"Cardaria draba","Australian","30","0","336","8"
"Cardaria pubescens","Nearctic","140","0","8","0"
"Carduus acanthoides","Palearctic_West","56","0","694","0"
"Carduus acanthoides","Nearctic","40","0","694","0"
"Carduus acanthoides","Neotropical","9","0","693","1"
"Carduus crispus","Nearctic","8","0","2647","0"
"Carduus nutans","Australian","146","1","1671","28"
"Carduus nutans","Nearctic","252","0","1699","0"
"Carduus nutans","Palearctic_West","71","0","1698","1"
"Carduus pycnocephalus","Palearctic_West","46","0","527","0"
"Carduus pycnocephalus","Nearctic","115","0","527","0"
"Carduus pycnocephalus","Australian","314","0","522","5"
"Carduus pycnocephalus","Neotropical","12","0","526","1"
"Carduus tenuiflorus","Australian","355","0","1034","0"
"Carduus tenuiflorus","Nearctic","48","0","1034","0"
"Carduus tenuiflorus","Afrotropical","7","0","1033","1"
"Carduus tenuiflorus","Palearctic_West","13","0","1034","0"
"Carduus tenuiflorus","Neotropical","8","0","1034","0"
"Carex disticha","Australian","6","0","2007","87"
"Carex flacca","Australian","19","0","2823","107"
"Carex flacca","Nearctic","11","0","2929","1"
"Carum carvi","Nearctic","118","0","2654","2"
"Carum carvi","Palearctic_West","242","0","2643","13"
"Casuarina cunninghamiana","Afrotropical","7","0","411","0"
"Casuarina cunninghamiana","Nearctic","14","1","411","0"
"Casuarina cunninghamiana","Palearctic_West","17","0","339","72"
"Casuarina cunninghamiana","Panamanian","17","0","293","118"
